Distance [miles],Init FL Vel [mph]
0.029363138,36.96145018
0.028759405,37.77494515
0.024511728,35.8544924
0.018378178,45.88659183
0.023823112,38.91752076
0.017279392,44.24078632
0.017916589,44.74845323
0.034422896,45.27688314
0.023657286,40.85539108
0.016689864,41.49762245
0.025602702,40.2595589
0.019081289,48.61589198
0.028332747,48.79870012
0.024951157,47.3110244
0.019432729,38.05798892
0.02022296,41.41104725
0.019959003,46.47712032
0.037684198,46.47774723
0.027858214,50.67772145
0.023066403,41.73348584
0.015390831,46.98114728
0.028234458,40.79633078
0.024167193,49.01058306
0.030156957,47.2142479
0.025757161,43.60320973
0.02435707,44.19453259
0.030403197,43.44218292
0.018302118,45.68024404
0.029839622,52.81467915
0.035464473,51.31082477
0.026099015,45.60546618
0.021972467,40.91048906
0.027229444,43.66864454
0.033721147,47.05922807
0.013674602,40.0149242
0.015493408,46.77212018
0.026934688,38.21207108
0.012218273,39.30199782
0.031957306,41.82878523
0.027943855,50.52182127
0.025444097,38.92681024
0.032896419,32.22950847
0.034576192,43.43882276
0.019920112,41.30142499
0.037199541,51.0702165
0.022785783,41.54517541
0.029374474,37.15050262
0.011830078,37.3403477
0.019536721,41.30601462
